14:45:45.189 [main] === Redstone logger started ===
14:45:45.190 [main] RedstoneManager created, world=com.voxel.World@4ddced80 chunkManager=com.voxel.world.ChunkManager@1534f01b
14:45:54.201 [LogicThread] setPlayerPosition (1111,135,939) player moved
14:45:54.234 [LogicThread] setPlayerPosition (1112,134,938) player moved
14:45:54.267 [LogicThread] setPlayerPosition (1112,133,938) player moved
14:45:54.300 [LogicThread] setPlayerPosition (1113,132,937) player moved
14:45:54.332 [LogicThread] setPlayerPosition (1113,131,937) player moved
14:45:54.367 [LogicThread] setPlayerPosition (1113,129,936) player moved
14:45:54.383 [LogicThread] setPlayerPosition (1114,129,936) player moved
14:45:54.420 [LogicThread] setPlayerPosition (1114,127,935) player moved
14:45:54.454 [LogicThread] setPlayerPosition (1114,126,935) player moved
14:45:54.488 [LogicThread] setPlayerPosition (1115,124,935) player moved
14:45:54.522 [LogicThread] setPlayerPosition (1115,123,934) player moved
14:45:54.558 [LogicThread] setPlayerPosition (1115,121,934) player moved
14:45:54.590 [LogicThread] setPlayerPosition (1115,119,934) player moved
14:45:54.624 [LogicThread] setPlayerPosition (1115,118,933) player moved
14:45:54.658 [LogicThread] setPlayerPosition (1116,116,933) player moved
14:45:54.692 [LogicThread] setPlayerPosition (1116,115,933) player moved
14:45:54.725 [LogicThread] setPlayerPosition (1116,113,932) player moved
14:45:54.758 [LogicThread] setPlayerPosition (1116,112,932) player moved
14:45:54.792 [LogicThread] setPlayerPosition (1116,110,932) player moved
14:45:54.824 [LogicThread] setPlayerPosition (1116,109,932) player moved
14:45:54.857 [LogicThread] setPlayerPosition (1117,108,932) player moved
14:45:54.890 [LogicThread] setPlayerPosition (1117,107,932) player moved
14:45:54.923 [LogicThread] setPlayerPosition (1117,106,931) player moved
14:45:54.956 [LogicThread] setPlayerPosition (1117,105,931) player moved
14:45:55.020 [REPEATED x1]
14:45:55.020 [LogicThread] setPlayerPosition (1117,104,931) player moved
14:45:55.054 [LogicThread] setPlayerPosition (1117,103,931) player moved
14:45:55.119 [REPEATED x1]
14:45:55.119 [LogicThread] setPlayerPosition (1117,102,931) player moved
14:45:55.151 [LogicThread] setPlayerPosition (1117,101,931) player moved
14:45:55.218 [REPEATED x1]
14:45:55.218 [LogicThread] setPlayerPosition (1117,100,931) player moved
14:45:55.252 [LogicThread] setPlayerPosition (1118,100,931) player moved
14:45:55.285 [LogicThread] setPlayerPosition (1118,100,930) player moved
14:45:55.319 [LogicThread] setPlayerPosition (1118,99,930) player moved
14:45:55.417 [REPEATED x2]
14:45:55.418 [LogicThread] setPlayerPosition (1118,98,930) player moved
14:45:55.514 [REPEATED x2]
14:45:55.515 [LogicThread] setPlayerPosition (1118,97,930) player moved
14:45:55.711 [REPEATED x5]
14:45:55.712 [LogicThread] setPlayerPosition (1118,96,930) player moved
14:46:01.358 [REPEATED x5]
14:46:01.358 [LogicThread] setPlayerPosition (1118,94,930) player moved
14:46:01.454 [REPEATED x3]
14:46:01.454 [LogicThread] setPlayerPosition (1118,93,930) player moved
14:46:01.486 [LogicThread] setPlayerPosition (1118,92,930) player moved
14:46:01.518 [LogicThread] setPlayerPosition (1118,91,930) player moved
14:46:01.583 [REPEATED x1]
14:46:01.583 [LogicThread] setPlayerPosition (1118,90,930) player moved
14:46:01.616 [LogicThread] setPlayerPosition (1118,89,930) player moved
14:46:01.649 [LogicThread] setPlayerPosition (1118,88,930) player moved
14:46:01.681 [LogicThread] setPlayerPosition (1118,86,930) player moved
14:46:01.713 [LogicThread] setPlayerPosition (1118,85,930) player moved
14:46:01.746 [LogicThread] setPlayerPosition (1118,84,930) player moved
14:46:01.779 [LogicThread] setPlayerPosition (1118,83,930) player moved
14:46:01.811 [LogicThread] setPlayerPosition (1118,81,930) player moved
14:46:01.844 [LogicThread] setPlayerPosition (1118,80,930) player moved
14:46:01.878 [LogicThread] setPlayerPosition (1118,79,930) player moved
14:46:01.910 [LogicThread] setPlayerPosition (1118,77,930) player moved
14:46:01.942 [LogicThread] setPlayerPosition (1118,76,930) player moved
14:46:01.974 [LogicThread] setPlayerPosition (1118,74,930) player moved
14:46:02.006 [LogicThread] setPlayerPosition (1118,73,930) player moved
14:46:02.039 [LogicThread] setPlayerPosition (1118,72,930) player moved
